stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4590,540,Клуб Науковий (540),"вул. Наукова, 62",49.804283,23.993186
4591,548,Центр зайнятості (548),"вул. Наукова, 11",49.803952,23.996512
4592,550,Княгині Ольги (550),"вул. Наукова, 7",49.803483,24.000975
4593,538,Тролейбусна (538),"вул. Наукова, 11",49.802905,24.006860
4594,537,Підстригача (537),"вул. Наукова, 3",49.802259,24.013520
4690,0565,Стрийська-Наукова (565),вул. Стрийська  (перехрестя Стрийська-Наукова),49.801302,24.017626
4989,0560,Скорини (560),"вул. Стрийська, 202",49.797718,24.016805
4737,0561,Гашека (561),"вул. Стрийська, 244",49.794106,24.016076
4738,0562,Максимовича (562),"вул. Стрийська,264",49.791440,24.015448
4739,0563,Автовокзал (563),вул. Стрийська 302,49.787582,24.014606
4740,0564,Сокільницька (564),"вул. Стрийська, 338",49.783131,24.013849
4741,,ТРЦ Кінг Кросс (320-01),"вул. Стрийська, 30",49.774197,24.012589
2551805,1313,"Дубляни, Школа (1313)","м. Дубляни, вул. Т Шевченка, 21",49.904271,24.092578
2551806,1312,"Дубляни, Центр (1312)","м. Дубляни, вул. Т. Шевченка, 2",49.904420,24.087911
2551807,1310,"Дубляни, Землевпорядний факультет (1310)","м. Дубляни, вул. В. Великого",49.903162,24.087940
2551808,1308,"Дубляни, Університет (1308)","м. Дубляни, вул. В. Великого",49.897281,24.090480
44988,1306,"Дубляни, Малиняк (1306)","м. Дубляни, вул. Малинова",49.894372,24.091215
45011,1304,"Дубляни, Київська (1304)","м. Дубляни, вул. В. Великого",49.891856,24.090432
4672,1302,"Дубляни, Львівська (1302)","м. Дубляни, вул. В. Великого",49.889694,24.089697
5147,1200,"Малехів, Цвинтар (1200)","с. Малехів, вул. Київська",49.886741,24.080336
5153,1198,"Малехів, Шевченка (1198)","с. Малехів, вул. Київська",49.883841,24.075398
5081,1196,"Малехів, Склади (1196)","с. Малехів, вул. Київська",49.880690,24.070243
4563,593,Галицьке перехрестя (593),"вул. Б. Хмельницького, 273",49.873515,24.060214
44938,,Скейт-парк (738),"вул. Б. Хмельницького, 257",49.869439,24.056792
44973,0068,Театр опери та балету (68),"пр. Свободи, 49",49.843988,24.025726
44974,0067,Проспект Свободи (67),просп. Свободи 7,49.840029,24.028207
4974,10,Площа Галицька (10),"пл. Галицька, 14",49.839261,24.032807
4876,0057,Підвальна (57),вул. Підвальна 2,49.842525,24.035160
4877,0040,Театральна (40),"пл. Ярослава Осмомисла, (Добробут)",49.844819,24.027706
4676,,Скейт-парк (589),вул. Б. Хмельницького 212,49.868626,24.056320
2560987,594,Галицьке перехрестя (594),"Б. Хмельницького, 289",49.875254,24.061984
42754,1195,"Малехів, Склади (1195)","с. Малехів, вул. Київська",49.880659,24.070388
44150,1197,"Малехів, Шевченка (1197)","с. Малехів, вул. Київська",49.884034,24.075682
44160,1199,"Малехів, Цвинтар (1199)","с. Малехів, вул. Київська",49.886858,24.081119
44161,1301,"Дубляни, Львівська (1301)","м. Дубляни, вул. В. Великого",49.889969,24.089893
44242,1303,"Дубляни, Київська (1303)","м. Дубляни, вул. В. Великого",49.891932,24.090518
4969,1305,"Дубляни, Малиняк (1305)","м. Дубляни, вул. Малинова",49.894515,24.091349
5010,1307,"Дубляни, Університет (1307)","м. Дубляни, вул. В. Великого",49.897354,24.090507
5165,1309,"Дубляни, Землевпорядний факультет (1309)","м. Дубляни, вул. В. Великого",49.903314,24.087975
42375,1311,"Дубляни, Центр (1311)","м. Дубляни, вул. В. Великого",49.904370,24.087752
42401,1300,"Дубляни, Школа (1300)","м. Дубляни, вул. Т. Шевченка, 4",49.904233,24.093136
42794,703,Татарбунарська (703),"вул. Татарбунарська (вул. Т. Шевченка, 154)",49.853622,23.986748
4770,184,Крупзавод (184),вул. Т. Шевченка 113,49.850967,23.991813
44250,697,Янівський цвинтар (697),"вул. Т. Шевченка, 89",49.849049,23.996651
4896,683,Єрошенка (683),вул. Т. Шевченка 67,49.847659,24.001439
4897,77,Ярослава Мудрого (77),"вул. Т. Шевченка, 19",49.845247,24.008743
5050,0021,Театр ляльок (21),пл. Данила Галицького 1,49.844499,24.031624
4997,0059,Підвальна (59),вул. Підвальна 13,49.842759,24.034941
4910,240,Площа Митна (240),вул. Личаківська 2,49.839773,24.037182
4911,0241,Військовий госпіталь (241),"вул. Личаківська, 28",49.840221,24.043327
4912,0243,Медичний університет (243),вул. Личаківська 52,49.839806,24.049845
44808,0246,Мечникова (246),"вул. Личаківська, 74",49.838735,24.054002
44809,0226,Личаківський цвинтар (226),"вул. Мечникова, 10",49.834080,24.052192
45022,0227,Інфекційна лікарня (227),"вул. Мечникова (Пекарська, 54)",49.832806,24.050338
44811,0239,Левицького (239),"вул. Левицького, 122",49.830341,24.049463
44806,0197-01,Погулянка (197-01),"вул. А. Вахнянина, 27",49.828997,24.056159
45105,0197,Погулянка (197),"вул. Вахнянина,27",49.829386,24.056939
44812,0238,Левицького (238),"вул. Левицького, 99",49.830464,24.049442
44810,0225,Личаківський цвинтар (225),вул. Мечникова (вхід на цвинтар),49.833667,24.052040
42762,0247,Мечникова (247),"вул. Личаківська, 107",49.838699,24.054383
4874,0245,Медичний університет (245),"вул. Личаківська, 67",49.840041,24.049249
4875,0242,Військовий госпіталь (242),вул. Личаківська 35,49.840259,24.043150
4849,42,Площа Митна (42),вул. Личаківська 7,49.839833,24.038005
4885,681,Ярослава Мудрого (681),вул. Т. Шевченка 60,49.845348,24.008448
4886,682,Єрошенка (682),"вул. Т.  Шевченка, 67",49.847724,24.001364
44987,185,Янівський цвинтар (185),"вул. Шевченка, 128",49.849516,23.995358
4748,646,Крупзавод (646),вул. Т. Шевченка 132,49.851204,23.991421
42795,703-01,Татарбунарська-висадка (703-1),"вул. Татарбунарська (вул. Т. Шевченка, 154)",49.853703,23.987239
5151,,Зернова (26),"вул. Зернова,11",49.846361,24.024991
4572,611,Парк 700-річчя Львова (611),"пр. В. Чорновола, 73",49.861626,24.018736
4635,613,Шевченківська РА (613),пр. В. Чорновола,49.857727,24.021220
4636,618,Парк 700-річчя Львова (618),пр. В. Чорновола,49.862655,24.018597
4637,617,Варшавська (617),пр. В. Чорновола,49.865874,24.016918
4638,614,Голоско (614),"вул. Варшавська, 29",49.869786,24.018423
4647,0649,Замарстинів (649),"вул. Замарстинівська, 178",49.871272,24.018496
4648,0650,Поліклініка МВС (650),"вул. Замарстинівська,226",49.873944,24.013517
4649,0652,Дитячий диспансер (652),вул. Замарстинівська 274,49.877615,24.004027
4650,,"Брюховичі, Цвинтар (1066)",вул. Львівська,49.896891,23.965479
2561015,,"Брюховичі, Весняна (1082)","Брюховичі, вул. Весняна",49.899320,23.961563
4651,1069,"Брюховичі, Джерело (1069)","вул. Львівська, перехрестя з вул. Ясна",49.901459,23.960063
4652,1065,"Брюховичі, Курортна (1065)",вул. Львівська 20,49.903743,23.960220
4653,1064,"Брюховичі, Пляжна (1064)",вул. Курортна (перехрестя з вул. Пляжна),49.905736,23.957180
4654,1062,"Брюховичі, Пансіонат Львів (1062)","смт. Брюховичі, вул. Курортна (перехрестя з вул. Лікарська)",49.906973,23.947626
4965,1073,Брюховичі. Вокзал (1073),"смт. Брюховичі, вул. Незалежності України (перехрестя з вул. Курортна)",49.903605,23.940046
4655,,"Брюховичі, Івасюка (1051)","смт. Брюховичі, вул. В. Івасюка, 4",49.901970,23.939536
4656,1052,"Брюховичі, Арктична (1052)",вул. В. Івасюка 6,49.901262,23.935706
4657,1054,"Брюховичі, Ягідна (1054)","вул. В. Івасюка, 32",49.903691,23.929524
4658,1056,"Брюховичі, Кардіологічна лікарня (1056)",вул. В. Івасюка 69,49.905087,23.927563
4659,1055,"Брюховичі, Ягідна (1055)",вул. В. Івасюка 45,49.902589,23.930982
4660,1053,"Брюховичі, Арктична (1053)",вул. В. Івасюка 19,49.901200,23.935926
4661,,"Брюховичі, Івасюка (1057)","смт. Брюховичі, вул. В. Івасюка 1Б",49.901922,23.940416
4662,,"Брюховичі, Вокзал (1063)",вул. Курортна (перехрестя з вул. Незалежності України),49.904133,23.940427
4663,,"Брюховичі, Пансіонат Львів (1058)",смт. Брюховичі вул. Курортна 10,49.906932,23.947706
4664,1059,"Брюховичі, Пляжна (1059)",вул. Курортна 20,49.905602,23.957378
4665,1061,"Брюховичі, Курортна (1061)","вул. Курортна (вул. Львівська, 23)",49.904392,23.960066
4666,1068,"Брюховичі, Джерело (1068)",вул. Львівська,49.901241,23.960039
2561016,,"Брюховичі, Весняна (1081)","Брюховичі, вул. Весняна",49.899220,23.961552
4961,1067,"Брюховичі, Цвинтар (1067)","смт. Брюховичі, вул. Львівська",49.897223,23.964416
4667,651,Дитячий диспансер (651),"вул. Замарстинівська, 265",49.877467,24.004027
4668,654,Поліклініка МВС (654),"вул. Замарстинівська, 225А",49.873823,24.013699
4669,653,Замарстинів (653),"вул. Замарстинівська,223А",49.871330,24.018109
44162,0739,Голоско (739),"вул. Варшавська (навпроти Ф. Сеньковича, 40)",49.869290,24.018087
4571,612,Варшавська (612),"пр. В. Чорновола, 103",49.866382,24.016194
4573,610,Шевченківська РА (610),"пр. В. Чорновола, 61",49.857685,24.020893
4576,54,Куліша (54),"вул. Пантелеймона Куліша, 47",49.848921,24.024310
4694,0436,Стрийська-Наукова (436),"вул. Стрийська, 45а",49.802604,24.018361
4799,0429,Автобусний завод (429),"вул. Стрийська, 45",49.808524,24.019257
4905,0428,Податкова (428),"вул. Стрийська, 35",49.815149,24.019922
4906,75,Дитяча залізниця (75),"вул. Стрийська, (вхід в парк)",49.820428,24.020410
4902,0076,Академія сухопутних військ (76),вул. Стрийська (монумент слави),49.825141,24.022969
5054,,Стрийський ринок (81),"вул. Ш. Руставелі (вул. Франка, 81, ринок)",49.829517,24.032333
4909,292,Шота Руставелі (292),вул. Шота Руставелі (навпроти № 4),49.834014,24.035479
5051,0029,Шухевича (29),вул. І. Франка 7,49.837368,24.035021
44975,0039,Князя Романа (39),"вул. Князя Романа, 26",49.837659,24.032995
44976,291,Шота Руставелі (291),"вул. Шота Руставелі, 2",49.833876,24.035329
4901,0080,Стрийський ринок (80),"вул. Ш. Руставелі, 42",49.829806,24.032437
4907,0567,Академія сухопутних військ (567),"вул. Стрийська (вул. Героїв Майдану, 32)",49.824120,24.020624
4903,558,Дитяча залізниця (558),"вул. Стрийська, 72",49.820521,24.020292
4904,0566,Податкова (566),"вул. Стрийська (вул. Академіка Лазаренка, 2)",49.814975,24.019753
4689,0559,Автобусний завод (559),"вул. Стрийська, 104",49.807627,24.019037
45027,,Іподром (318),вул. Стрийська,49.777684,24.013876
2554387,,Парк Архангела Михаїла (342),"вул. Вернадського, 115",49.786257,24.026343
2554386,,Парк Архангела Михаїла (341),"вул. Вернадського, 99А",49.787118,24.024299
44955,359,Автовокзал (359),"вул. Стрийська, 107",49.787916,24.017074
4695,0508,Боднарівка (508),"вул. І. Рубчака, 2",49.805491,24.017760
5149,,Рубчака (298),"вул. І. Рубчака, 18",49.806159,24.011567
4696,0568,Тролейбусне депо (568),"вул. Тролейбусна, 1",49.807404,24.007479
4697,479,Коледж телекомунікацій (479),"вул. Володимира Великого, 12",49.809964,24.007037
4698,0481,Володимира Великого (481),"вул. Володимира Великого, 22",49.810341,24.001104
4948,,"Бойчука, Кіноцентр (518)","вул. Княгині Ольги, 59",49.812321,24.000412
44999,514,Аркаса (514),"вул. Княгині Ольги, 11",49.817861,24.003609
4950,513,Ісаєвича (513),"вул. Княгині Ольги, 3",49.823780,24.007662
4951,0512,Горбачевського (512),"вул. Княгині Ольги,1",49.825757,24.009494
4952,0044,Площа Лема (44),"вул. М. Коперника, 41",49.832644,24.018586
5211,0052,Головна пошта (52),"вул. П. Дорошенка, 43",49.836820,24.022003
